personID,endTime_UTC,audiobookName,chapterName,authorName,msPlayed
8,2025-08-11 21:30:00,Armada,Chapter 10,Ernest Cline,6510
8,2025-08-11 21:56:00,Armada,Chapter 10,Ernest Cline,1570579
8,2025-08-11 22:16:00,Armada,Chapter 11,Ernest Cline,1164300
8,2025-08-16 14:26:00,Armada,Chapter 11,Ernest Cline,4570
8,2025-08-17 15:05:00,Armada,Chapter 11,Ernest Cline,808990
8,2025-08-17 15:30:00,Armada,Chapter 12,Ernest Cline,1464032
8,2025-08-17 18:21:00,Armada,Chapter 13,Ernest Cline,758837
8,2025-08-17 20:37:00,Armada,Chapter 13,Ernest Cline,5829
8,2025-08-22 18:01:00,Armada,Chapter 13,Ernest Cline,920767
8,2025-08-22 18:43:00,Armada,Chapter 14,Ernest Cline,2507728
8,2025-08-22 19:08:00,Armada,Chapter 15,Ernest Cline,1517165
8,2025-08-22 19:40:00,Armada,Chapter 16,Ernest Cline,1900007
8,2025-08-26 14:18:00,Armada,Chapter 16,Ernest Cline,260647
8,2025-08-26 14:46:00,Armada,Chapter 17,Ernest Cline,1649462
8,2025-09-05 14:03:00,Armada,Chapter 17,Ernest Cline,415483
8,2025-09-05 14:32:00,Armada,Chapter 18,Ernest Cline,1709583
8,2025-09-05 15:08:00,Armada,Chapter 19,Ernest Cline,2143268
8,2025-09-05 15:22:00,Armada,Chapter 20,Ernest Cline,851504
8,2025-09-09 13:25:00,Armada,Chapter 20,Ernest Cline,340026
8,2025-09-09 13:45:00,Armada,Chapter 21,Ernest Cline,1188933
8,2026-01-05 21:49:00,Piranesi,Piranesi,Susanna Clarke,580
8,2026-01-05 21:49:00,No Country for Old Men,No Country for Old Men,Cormac McCarthy,70
8,2026-01-05 21:49:00,The Fisherman,The Fisherman,John Langan,1080
8,2026-01-05 21:49:00,Dune Messiah,Dune Messiah,Frank Herbert,560
8,2026-01-05 21:49:00,HIS BLACK TONGUE,HIS BLACK TONGUE,MItchell Luthi,220
8,2026-01-05 21:49:00,The Ritual,The Ritual,Adam Nevill,60
8,2026-01-05 21:49:00,The Faithful Executioner,The Faithful Executioner,Joel F. Harrington,90
8,2026-01-05 21:49:00,Grace Given,Grace Given,"Geoff ""SmoughTown"" Truscott",80
8,2026-01-05 21:50:00,HIS BLACK TONGUE,HIS BLACK TONGUE,MItchell Luthi,340
8,2026-01-05 21:50:00,The Faithful Executioner,The Faithful Executioner,Joel F. Harrington,0
8,2026-01-05 21:51:00,A Flicker in the Dark,Opening Credits,Stacy Willingham,29007
8,2026-01-05 21:52:00,A Flicker in the Dark,Epigraph,Stacy Willingham,18128
8,2026-01-05 21:56:00,A Flicker in the Dark,Prologue,Stacy Willingham,235360
8,2026-01-05 22:02:00,A Flicker in the Dark,Chapter 1,Stacy Willingham,385960
8,2026-01-05 22:12:00,A Flicker in the Dark,Chapter 2,Stacy Willingham,584006
8,2026-01-05 22:24:00,A Flicker in the Dark,Chapter 3,Stacy Willingham,711923
8,2026-01-05 22:38:00,A Flicker in the Dark,Chapter 4,Stacy Willingham,674996
8,2026-01-07 22:15:00,A Flicker in the Dark,Chapter 4,Stacy Willingham,22660
8,2026-01-07 22:15:00,The Lightning Thief,Opening Credits,Rick Riordan,9745
8,2026-01-07 22:38:00,The Lightning Thief,Chapter 1,Rick Riordan,1361007
8,2026-01-07 22:56:00,The Lightning Thief,Chapter 2,Rick Riordan,1122639
8,2026-01-07 23:21:00,The Lightning Thief,Chapter 3,Rick Riordan,1391149
9,2025-09-29 04:02:00,Legendborn,Opening Credits,Tracy Deonn,24999
9,2025-09-30 02:00:00,Legendborn,Prologue,Tracy Deonn,87127
9,2025-09-30 03:30:00,Babel,Babel,R. F. Kuang,3710
9,2025-09-30 03:30:00,Proto,Proto,Laura Spinney,1151
9,2025-09-30 03:30:00,No Longer Human. Confessions Of A Faulty Man,No Longer Human. Confessions Of A Faulty Man,Osamu Dazai,2271
9,2025-09-30 03:30:00,The 48 Laws of Power,The 48 Laws of Power,Robert Greene,2061
9,2025-09-30 03:30:00,"I Have No Mouth, and I Must Scream: A Tale of AI Horror and Despair (1 Hour Reading)","I Have No Mouth, and I Must Scream: A Tale of AI Horror and Despair (1 Hour Reading)",Harlan Ellison,5451
9,2025-09-30 03:30:00,A Short History of the World,A Short History of the World,H. G. Wells,2260
9,2025-09-30 03:30:00,Dune Messiah,Dune Messiah,Frank Herbert,641
9,2025-09-30 03:30:00,Legendborn,Prologue,Tracy Deonn,96143
9,2025-09-30 03:30:00,Blood Meridian,Blood Meridian,Cormac McCarthy,140
9,2025-09-30 03:30:00,The Odyssey,The Odyssey,Homer,160
9,2025-09-30 03:30:00,Stoicism,Stoicism,Jason Hemlock,2250
9,2025-09-30 03:30:00,The Three-Body Problem,The Three-Body Problem,Cixin Liu,2951
9,2025-09-30 03:30:00,Jane Eyre,Jane Eyre,Charlotte Brontë,6360
9,2025-09-30 03:30:00,The Four Agreements,The Four Agreements,Don Miguel Ruiz,2200
9,2025-09-30 03:30:00,"Calming Rain and Distant Thunder - Thunderstorm Nature Sounds Recording - for Meditation, Relaxation and Sleep - Nature's Perfect White Noise","Calming Rain and Distant Thunder - Thunderstorm Nature Sounds Recording - for Meditation, Relaxation and Sleep - Nature's Perfect White Noise",Dr. Laurence Goldman,4631
9,2025-09-30 03:30:00,Quantum Physics For Beginners,Quantum Physics For Beginners,Andrew Reeves,641
9,2025-09-30 03:30:00,Fahrenheit 451,Fahrenheit 451,Ray Bradbury,671
9,2025-09-30 03:30:00,The Metamorphosis,The Metamorphosis,Franz Kafka,2201
9,2025-09-30 03:31:00,Fourth Wing,Fourth Wing,Rebecca Yarros,250
9,2025-09-30 03:31:00,Fourth Wing,Fourth Wing,Rebecca Yarros,181
9,2025-09-30 03:31:00,Great Expectations,Great Expectations,Charles Dickens,1131
9,2025-09-30 03:31:00,Red Rising,Red Rising,Pierce Brown,671
9,2025-09-30 03:31:00,The Hundred Years' War on Palestine,The Hundred Years' War on Palestine,Rashid Khalidi,2931
9,2025-09-30 03:31:00,The Hundred Years' War on Palestine,The Hundred Years' War on Palestine,Rashid Khalidi,931
9,2025-09-30 03:31:00,Jane Eyre,Jane Eyre,Charlotte Brontë,111
9,2025-09-30 03:39:00,Quicksilver,Track 1,Callie Hart,17937
9,2025-09-30 03:57:00,Quicksilver,Track 2,Callie Hart,1097740
9,2025-09-30 04:35:00,Quicksilver,Track 3,Callie Hart,2283990
9,2025-09-30 05:02:00,Quicksilver,Track 4,Callie Hart,1589988
9,2025-09-30 05:32:00,Quicksilver,Track 5,Callie Hart,1794487
9,2025-10-01 02:19:00,Quicksilver,Track 6,Callie Hart,1450476
9,2025-10-01 02:20:00,Quicksilver,Track 1,Callie Hart,17937
9,2025-10-01 02:32:00,Quicksilver,Track 2,Callie Hart,717761
9,2025-10-01 02:50:00,Quicksilver,Track 3,Callie Hart,1035825
9,2025-10-01 03:11:00,Quicksilver,Track 3,Callie Hart,1250990
9,2025-10-01 12:30:00,Quicksilver,Track 4,Callie Hart,4785
9,2025-10-02 02:19:00,Quicksilver,Track 4,Callie Hart,264905
9,2025-10-06 07:54:00,Quicksilver,Track 6,Callie Hart,1323
9,2025-10-06 08:16:00,Quicksilver,Track 4,Callie Hart,1321989
9,2025-10-06 08:46:00,Quicksilver,Track 5,Callie Hart,1794488
9,2025-10-06 09:14:00,Quicksilver,Track 6,Callie Hart,1681197
9,2025-10-06 09:49:00,Quicksilver,Track 7,Callie Hart,2089824
9,2025-10-06 10:37:00,Quicksilver,Track 8,Callie Hart,2871038
9,2025-10-06 11:04:00,Quicksilver,Track 9,Callie Hart,1610337
9,2025-10-07 22:22:00,Quicksilver,Track 10,Callie Hart,478602
9,2025-11-08 04:33:00,The 48 Laws of Power,The 48 Laws of Power,Robert Greene,10320
9,2025-11-08 04:34:00,The Song of Achilles,Opening Credits,Madeline Miller,33123
9,2025-11-08 04:34:00,Babel,Babel,R. F. Kuang,1100
9,2025-11-08 04:34:00,A Court of Wings and Ruin,A Court of Wings and Ruin,Sarah J. Maas,2230
