personID,artistName,segment
1,Ashley Lilley,Previously Active Listeners
1,"The Choir Of Trinity College, Cambridge",Moderate listeners
1,Nelly Furtado,Light listeners
1,Rhea Raj,Light listeners
1,Ian McKellen,Previously Active Listeners
1,Meryl Streep,Light listeners
1,Thomas Newman,Previously Active Listeners
1,Cody Fry,Previously Active Listeners
1,Big Sean,Previously Active Listeners
1,Anika Noni Rose,Previously Active Listeners
1,Sukihana,Previously Active Listeners
1,Sasha Wareham,Previously Active Listeners
1,Cole Porter,Moderate listeners
1,James Hong,Previously Active Listeners
1,Travis Scott,Previously Active Listeners
1,Walter,Previously Active Listeners
1,Burna Boy,Previously Active Listeners
1,Marissa Jaret Winokur,Light listeners
1,Sarah Vaughan,Previously Active Listeners
1,Kamehameha Schools Children's Chorus,Previously Active Listeners
1,Hadestown Original Broadway Band,Previously Active Listeners
1,Rachel House,Previously Active Listeners
1,Jessie Shelton,Light listeners
1,Mr Eazi,Previously Active Listeners
1,Kali Uchis,Light listeners
1,Zachary Levi,Previously Active Listeners
1,Matthew Wilder,Previously Active Listeners
1,Wonderland Ensemble,Previously Active Listeners
1,Lea Salonga,Previously Active Listeners
1,Lindsay Mendez,Previously Active Listeners
1,LE SSERAFIM,Moderate listeners
1,Sierra Boggess,Previously Active Listeners
1,Hadley Fraser,Previously Active Listeners
1,Emma Watson,Previously Active Listeners
1,Guys and Dolls Ensemble (1992),Previously Active Listeners
1,Idina Menzel,Moderate listeners
1,Ok Goodnight,Previously Active Listeners
1,Kholby Wardell,Previously Active Listeners
1,Rob Moose,Previously Active Listeners
1,Patina Miller,Moderate listeners
1,Noah J. Ricketts,Light listeners
1,Olivia Newton-John,Previously Active Listeners
1,Moses Hogan,Previously Active Listeners
1,Estelle,Previously Active Listeners
1,Original Broadway Cast of Frozen,Previously Active Listeners
1,Susan Egan,Previously Active Listeners
1,Marshmello,Previously Active Listeners
1,Liza Minnelli,Previously Active Listeners
1,The Carters,Previously Active Listeners
1,Sarah Charles Lewis,Light listeners
1,Sarah Brightman,Previously Active Listeners
1,Nichols,Previously Active Listeners
1,Joanna Jones,Light listeners
1,Infinity Song,Previously Active Listeners
1,Pokémon,Light listeners
1,Tori Kelly,Light listeners
1,Waitress Original Broadway Cast Ensemble,Previously Active Listeners
1,Janet Devenish,Previously Active Listeners
1,YEONJUN,Previously Active Listeners
