artist.id,artist.name,artist.genre
611H6R34SPmF5jQLMzc0wf,yosei.,lo-fi beats
4UtJ3cnpM9ptMHY6LSfMUs,7th Realm,jazz beats
4UtJ3cnpM9ptMHY6LSfMUs,7th Realm,lo-fi
2advJF5OsuXyDXirKe9rOv,Flowzz,jazz beats
2advJF5OsuXyDXirKe9rOv,Flowzz,jazz rap
0PdFH8ZeWFvUr0uXGd6MXd,Jinmenju,lo-fi beats
0PdFH8ZeWFvUr0uXGd6MXd,Jinmenju,jazz beats
5rsVYU0xdA9SUiipNxLmnf,yungmerrin,jazz beats
5rsVYU0xdA9SUiipNxLmnf,yungmerrin,jazz rap
5rsVYU0xdA9SUiipNxLmnf,yungmerrin,lo-fi
0vg08N1z9G9LrGLkG1nNDS,Mujo,lo-fi
0vg08N1z9G9LrGLkG1nNDS,Mujo,lo-fi hip hop
0vg08N1z9G9LrGLkG1nNDS,Mujo,lo-fi beats
0vg08N1z9G9LrGLkG1nNDS,Mujo,jazz beats
2YxIkLC16Y21afaSqjP9b0,Sundaze,jazz beats
2YxIkLC16Y21afaSqjP9b0,Sundaze,lo-fi beats
2YxIkLC16Y21afaSqjP9b0,Sundaze,lo-fi
1qOhp9sUeynPwEfyY6kX6c,Gianni,jazz beats
1qOhp9sUeynPwEfyY6kX6c,Gianni,lo-fi
1qOhp9sUeynPwEfyY6kX6c,Gianni,lo-fi beats
6yaTO19o1wvnu91uZoYUCZ,IN.ri,jazz beats
6yaTO19o1wvnu91uZoYUCZ,IN.ri,jazz rap
2DFUmp55QXX2YYIBOs1QrN,The *tune^raider*,jazz beats
2DFUmp55QXX2YYIBOs1QrN,The *tune^raider*,jazz rap
23RWeaDeSVPWEOGogfsQ0i,howupheelin',jazz beats
23RWeaDeSVPWEOGogfsQ0i,howupheelin',jazz rap
6pxhj7jWxb2vzhFNyUpV80,High John,lo-fi beats
6pxhj7jWxb2vzhFNyUpV80,High John,jazz beats
6pxhj7jWxb2vzhFNyUpV80,High John,lo-fi
6pxhj7jWxb2vzhFNyUpV80,High John,jazz rap
2dFzMUO0SoMadcJNogEmg9,Sineg,lo-fi beats
2dFzMUO0SoMadcJNogEmg9,Sineg,lo-fi
2dFzMUO0SoMadcJNogEmg9,Sineg,jazz beats
138GsDz0pX5leXnKi7ay7G,tides.,jazz beats
138GsDz0pX5leXnKi7ay7G,tides.,lo-fi
138GsDz0pX5leXnKi7ay7G,tides.,lo-fi beats
138GsDz0pX5leXnKi7ay7G,tides.,lo-fi hip hop
58flJQprTkM8cMJwnQ6aIi,Ben Jammin' Beats,jazz beats
58flJQprTkM8cMJwnQ6aIi,Ben Jammin' Beats,lo-fi
58flJQprTkM8cMJwnQ6aIi,Ben Jammin' Beats,lo-fi beats
1TPZvujEmCbb9Yw7QwoTH9,igory,jazz beats
1TPZvujEmCbb9Yw7QwoTH9,igory,jazz rap
1TPZvujEmCbb9Yw7QwoTH9,igory,lo-fi beats
40BcKXWOaxLXJU26BNJEEp,Nat Walker,jazz beats
40BcKXWOaxLXJU26BNJEEp,Nat Walker,jazz rap
3OW3qK7Wl9ESAGLvjVOw2h,Koralle,jazz rap
3OW3qK7Wl9ESAGLvjVOw2h,Koralle,lo-fi beats
3OW3qK7Wl9ESAGLvjVOw2h,Koralle,jazz beats
3OW3qK7Wl9ESAGLvjVOw2h,Koralle,lo-fi
5dFzAFmO3MGNTFcAApR6UR,Yawuh,jazz beats
5dFzAFmO3MGNTFcAApR6UR,Yawuh,lo-fi beats
5dFzAFmO3MGNTFcAApR6UR,Yawuh,lo-fi
4Iufg5jdqQELqh9fQukPUE,Gaslamp,jazz beats
4Iufg5jdqQELqh9fQukPUE,Gaslamp,jazz rap
4Iufg5jdqQELqh9fQukPUE,Gaslamp,lo-fi
2CMfq5bzbQZNJIt6dTDqgc,Twill Street,jazz house
2CMfq5bzbQZNJIt6dTDqgc,Twill Street,jazz beats
2OFRhWUjfTKWj9XGiAZplC,Half Blue,jazz beats
2OFRhWUjfTKWj9XGiAZplC,Half Blue,lo-fi beats
2OFRhWUjfTKWj9XGiAZplC,Half Blue,lo-fi
2OFRhWUjfTKWj9XGiAZplC,Half Blue,jazz rap
0WT5AUGwotFjuLjpja3jiT,Luc Le Luc,jazz beats
1ux1cA3N0QiscFolXpfbni,Saiko,lo-fi beats
1ux1cA3N0QiscFolXpfbni,Saiko,jazz beats
1ux1cA3N0QiscFolXpfbni,Saiko,lo-fi
4M4KnBBYF5REWwMgyrUSz0,E20 Trio,jazz beats
11nJzHENlaUYrrT9CAd0W9,Huez,jazz rap
11nJzHENlaUYrrT9CAd0W9,Huez,lo-fi beats
11nJzHENlaUYrrT9CAd0W9,Huez,jazz beats
11nJzHENlaUYrrT9CAd0W9,Huez,lo-fi
11nJzHENlaUYrrT9CAd0W9,Huez,lo-fi hip hop
0BUWlzdVAow3whRDUIQOV9,fakename,jazz beats
0BUWlzdVAow3whRDUIQOV9,fakename,lo-fi
0BUWlzdVAow3whRDUIQOV9,fakename,lo-fi beats
5BJiJign2sqMUCJhpStgNd,Team Astro,lo-fi hip hop
5BJiJign2sqMUCJhpStgNd,Team Astro,lo-fi
5BJiJign2sqMUCJhpStgNd,Team Astro,lo-fi beats
0z9hynUsIjf0ddI4uHqPWX,Dustin Tebbutt,indie folk
21egYD1eInY6bGFcniCRT1,First Aid Kit,indie folk
21egYD1eInY6bGFcniCRT1,First Aid Kit,folk
6f2Y46Pw2IYGoURJREJDiA,ØDYSSEE,lo-fi beats
6f2Y46Pw2IYGoURJREJDiA,ØDYSSEE,jazz beats
6f2Y46Pw2IYGoURJREJDiA,ØDYSSEE,lo-fi
6f2Y46Pw2IYGoURJREJDiA,ØDYSSEE,lo-fi hip hop
0QmdasntOdQpEwRd40wyp3,less.people,lo-fi hip hop
0QmdasntOdQpEwRd40wyp3,less.people,lo-fi
0QmdasntOdQpEwRd40wyp3,less.people,lo-fi beats
64StAk1W7veJKQ9x0rlE2R,Ajmw,jazz house
64StAk1W7veJKQ9x0rlE2R,Ajmw,lo-fi hip hop
64StAk1W7veJKQ9x0rlE2R,Ajmw,lo-fi beats
64StAk1W7veJKQ9x0rlE2R,Ajmw,lo-fi
64StAk1W7veJKQ9x0rlE2R,Ajmw,jazz beats
2WuIOKPVjEUUboejPw2P0v,Chillwme,lo-fi
6mWAKV1AAFvzxQr7uztRE9,Rob Araujo,nu jazz
6mWAKV1AAFvzxQr7uztRE9,Rob Araujo,jazz beats
6mWAKV1AAFvzxQr7uztRE9,Rob Araujo,jazz fusion
3Zi91vuWAU6SUwcKDf8zDq,Bert,lo-fi hip hop
