artist.genres,artist.id,artist.name,artist.popularity,artist.followers
[],0inkJpjAKDnQOv2VHBCU0Z,SadBoyProlific,56,402888
[],6wUAn24MOirNVNqQM47fda,Joshua Golden,45,49099
['pop singer-songwriter'],3Ru5n2T3JIrjnSZhf2rinv,Braden Bales,49,97508
[],6zf13X0QDPkbKT2bQAcKyV,Jake Cornell,45,114293
[],2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,72,4612622
[],3QSQFmccmX81fWCUSPTS7y,Dean Lewis,76,4322456
[],1adGvsK8A0XG2D18ufk7fZ,Hayd,59,333472
[],7fEXIS5LgSLbCdzTePqe0V,Andi,47,255702
[],6Wm8af6tWJ7XAJ1poDozwY,Josiah MacCartney,49,25919
[],4VKYMbkJBPgCEUS8cfU3go,Anthony Opgaard,39,3121
[],2ooLhcOE3idTK2H1rRrcGl,SadSky,40,4136
[],2l35CQqtYRh3d8ZIiBep4v,MKTO,63,1120734
[],2WX2uTcsvV5OnS0inACecP,Birdy,71,3760797
['soft pop'],4dpARuHxo51G3z768sgnrY,Adele,85,68678346
[],1dUrqVHcv2FCXxlIqzIbiG,NERIAH,47,131080
[],1e1A7s86U6f7cyJAivpfY3,kobzx2z,69,60804
[],1NN1cElkA55L2ybgQtF9gE,Red Luna,50,8551
['melodic bass'],164a6ajIRfk6mtrowEgEZv,Valorian,38,1041
"['melodic bass', 'future bass']",6OrvGE61MCrOZJM5naN4Vd,Lexi Scatena,44,2331
[],6TIYQ3jFPwQSRmorSezPxX,mgk,79,5734665
"['cloud rap', 'emo rap']",3K40SMapVhc8PxyYFofHff,Corbin,48,153709
"['melodic rap', 'rap']",4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,80,10535884
[],58eJhHRICp87T2IFcP0bYh,Slush Puppy,43,71533
[],64EHXDoln95lnccszdPum0,Royal & the Serpent,59,302292
[],00TKPo9MxwZ0j4ooveIxWZ,Loote,53,228022
['rap rock'],4exLIFE8sISLr28sqG1qNX,Travis Barker,67,516720
[],0rlKkLkpsCnJbZethGBfAk,Captain Cuts,48,18836
[],3QhdcUJyoIaWj3Wi0VjeP8,Home Alone,17,601
"['christian hip hop', 'christian reggaeton', 'christian pop', 'christian edm', 'christian r&b', 'christian']",0oPd8f0W82Tgrazx2PYNab,GAWVI,48,211439
"['christian hip hop', 'christian', 'christian r&b', 'christian pop', 'rap chrétien', 'chinese hip hop']",1CFCsEqKrCyvAFKOATQHiW,Lecrae,66,1423525
['edm trap'],7yPPzu5UdAK7yagQqjEZQm,Party Favor,49,182327
[],6JINIoM2HUR5ZNTJwoR9eC,EZI,41,172727
[],4r63FhuTkUYltbVAg5TQnk,DaBaby,80,13250499
"['big room', 'electronica', 'edm']",73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,73,3623500
"['edm', 'progressive house', 'electronica']",60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,76,15146574
"['big room', 'edm']",7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,61,614582
[],0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space,50,223396
"['argentine trap', 'trap latino', 'trap', 'urbano latino']",1vqR17Iv8VFdzure1TAXEq,LIT killah,69,6467276
[],6veh5zbFpm31XsPdjBgPER,BIA,68,643139
[],0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,86,34476857
[],1nzgtKYFckznkcVMR3Gg4z,KSI,58,2750842
"['chicago drill', 'drill']",3hcs9uc56yIGFCSy9leWe7,Lil Durk,81,9988192
"['edm', 'dubstep']",0Cd6nHYwecCNM1sVEXKlYr,Krewella,54,900808
[],7mX72Bq2iXNr8fZdu23fQL,Boslen,42,64094
[],6r5HeipYprIewBgpy0lkLE,Tyla Yaweh,26,247
[],2e7a6ZMxkwltCzbxHq8b3t,NextYoungin,41,64364
[],2u1aL8XADqj0nJFHMKRjNw,ppcocaine,51,610937
"['trap latino', 'reggaeton', 'urbano latino']",0qTZZWLzuD59Un5r1speHm,Chris Jedi,69,2889189
"['reggaeton', 'latin']",1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,89,39945904
"['reggaeton', 'trap latino', 'latin', 'urbano latino']",1i8SpTcr7yvPOmcqrbnVXY,Ozuna,88,40050622
[],4kYSro6naA4h99UJvo89HB,Cardi B,81,26450096
[],4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,5891234
[],00VnRQuhdfjkeaXeDu5dlW,Anuel,45,16649
"['reggaeton', 'trap latino', 'urbano latino']",4SsVbpTthjScTS7U2hmr1X,Arcángel,86,18468991
['reggaeton'],5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,81,6769079
[],7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,74,7033803
"['reggaeton', 'trap latino', 'urbano latino', 'latin']",2R21vXR83lH98kGeO99Y66,Anuel AA,90,46770128
[],1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,79,3269990
['trap soul'],7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,83,7716921
"['rap', 'trap', 'melodic rap']",50co4Is1HCEo8bhOyUWKpn,Young Thug,85,12822978
