personID,"tracks_album","tracks_artist","tracks_track","tracks_id"
1,"Picture Show","Neon Trees","Everybody Talks","2iUmqdfGZcHIhS3b9E9EWq"
1,"Everything I Know About Love","Laufey","Valentine","6cx5CvFhqN19efStehJqoW"
1,"Inside (Music from RWBY, Vol. 9)","Casey Lee Williams","Inside (Music from RWBY, Vol. 9)","19ZVN6OqGsWLrU3CchWrqC"
1,"The Lion King: The Gift","Beyoncé","ALREADY","6tgEc2O1uFHcZDKPoo6PC8"
1,"Magnolia","Laufey","Magnolia","21jif0hxejPHOUV5yqFITt"
1,"Stranger in the Alps","Phoebe Bridgers","Funeral","4GvdsVns332wQ3JsWAg2OV"
1,"emails i can’t send fwd:","Sabrina Carpenter","Feather","2Zo1PcszsT9WQ0ANntJbID"
1,"five seconds flat","Lizzy McAlpine","ceilings","2L9N0zZnd37dwF0clgxMGI"
1,"Heathers: The Musical (World Premiere Cast Recording)","Jessica Keenan Wynn","Candy Store","13Soih2NRLeDx8Unbr22mx"
1,"Edifice","Mix","Barton Hollow","4jp3awkV6JZ65JksL1CUol"
1,"five seconds flat","Lizzy McAlpine","reckless driving","5GpEHUNI0T7L7H3DnAaBXh"
1,"The Lion King: The Gift","James Earl Jones","the stars (mufasa interlude)","50QREAhIciZoAiRNtyELEh"
1,"The Lion King: The Gift","Nija","MY POWER","7ia5l12mCvbQTeAnG1oYpg"
1,"Growing Pains","Alessia Cara","Growing Pains","003eoIwxETJujVWmNFMoZy"
1,"Ungodly Hour","Chloe x Halle","Tipsy","6j8bL8U9nyaGT9zA0P0c7P"
1,"Infinitely Ordinary","The Wrecks","Freaking Out","2uvTqA4hY5Tsqgeu6iTTO2"
1,"Game Changer","The 8-Bit Big Band","Beneath the Mask (From ""Persona 5"")","6PMMVAmVYbdGUKJqvvCbn7"
1,"Notion","The Rare Occasions","Notion - Acoustic","4Xw8WDsBrcdtw9wHMFwKYb"
1,"Pure Heroine","Lorde","Royals","2dLLR6qlu5UJ5gk0dKz0h3"
1,"Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis","telepatía","6tDDoYIxWvMLTdKpjFkc1B"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","HOT TO GO!","4xdBrk0nFZaP54vvZj0yx7"
1,"Lungs","Florence + The Machine","Dog Days Are Over","1YLJVmuzeM2YSUkCCaTNUB"
1,"Good Days","SZA","Good Days","3YJJjQPAbDT7mGpX3WtQ9A"
1,"Bewitched: The Goddess Edition","Laufey","It Could Happen To You","1pyfaPU3aw8JorXRJQf6cs"
1,"how can i pretend?","Wasia Project","impossible","6FDzlEOK29XWew1qfnGhaU"
1,"dawn","mxmtoon","almost home","74tVtfIGVQ6kxTjRRhH464"
1,"eternal sunshine","Ariana Grande","the boy is mine","0Lmbke3KNVFXtoH2mMSHCw"
1,"evermore","Taylor Swift","no body, no crime (feat. HAIM)","3RaT22zZsxVYxxKR7TAaYF"
1,"A Night To Remember","beabadoobee","A Night To Remember","180AbZduI6bYQIzwCHRwu9"
1,"Thank You For Being Here","Paravi","Cloud 9","5fVx2NjzeyTlSXLvc9jdg3"
1,"Cicada","Akira","No Fun","68phAp0KPvJ7GlDvSTxehi"
1,"GUTS","Olivia Rodrigo","ballad of a homeschooled girl","5sp71CUt0jXRNqHblPGp7b"
1,"Ungodly Hour","Chloe x Halle","Ungodly Hour","4SJRgLsuBKTEBEl9n6JsNu"
1,"Music Of The Sun","Rihanna","Pon de Replay","4TsmezEQVSZNNPv5RJ65Ov"
1,"MAYHEM","Lady Gaga","How Bad Do U Want Me","2rvd6akG8qEtBNUvQpN7iY"
1,"Everything I Know About Love","Laufey","Above The Chinese Restaurant","04cnoAgTzNnV1skGbWJeTM"
1,"Decade. The Songs, The Show, The Traditions, The Classics.","Celtic Woman","Téir Abhaile Riu","0AmA8MQue1LBuYZSAdBMsj"
1,"Kagome","Akira","Angel on the Railing","22TOT5hBugUaQGlP2k1x0z"
1,"RENAISSANCE","Beyoncé","VIRGO'S GROOVE","0Fl4eWzVaMUOdXcOrj6F1q"
1,"WHOLE LOTTA MONEY (feat. Nicki Minaj)","BIA","WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix","67G6iaOw8DZqp1z8STR89R"
1,"Love Me Anyway","Chappell Roan","Love Me Anyway","53KWkwzQq47p13swqiLAMI"
1,"Not An Apology","Bea Miller","Fire N Gold","7xAdO0zdl7lGf0ecg4IGhQ"
1,"Home","Paravi","Home","1hObXlE3sFyMCvWeyRV9QF"
1,"to love in the 21st century","Lyn Lapid","the alternative","4ylj6KTRlC25nhizGTlFPA"
1,"Honeymoon","Beach Bunny","Cloud 9","6vFsBXYczYsP0H3lgunZOm"
1,"HIT ME HARD AND SOFT","Billie Eilish","CHIHIRO","7BRD7x5pt8Lqa1eGYC4dzj"
1,"Alligator Bites Never Heal","Doechii","DENIAL IS A RIVER","1eTaznNW4Xxtx9za2SMTXB"
1,"The Giver","Chappell Roan","The Giver","5xHgo5JN0wfsV41HnRaos5"
1,"POP!","Adanna Duru","POP!","2M9AnJN0YIrkWtKXaUj56Q"
